"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.463406063E2,6.501579246E1,2.551784109E1,2.089080626E1,1.018944788E0,4.728928381E1,3.831241439E0,5.150670786E0
1.473406066E2,6.501579944E1,2.551785990E1,2.136527236E1,1.005453685E0,4.789357849E1,3.856545894E0,5.213280576E0
1.483406030E2,6.501580014E1,2.551787528E1,2.167455179E1,7.922073065E-1,6.041395262E1,3.923351205E0,5.314001553E0
1.493405989E2,6.501581033E1,2.551788766E1,2.220120186E1,8.569227415E-1,4.526279948E1,3.975078340E0,5.351635494E0
1.503405949E2,6.501581789E1,2.551790669E1,2.217297261E1,9.562681638E-1,4.403096371E1,4.055322296E0,5.053747016E0
1.513405931E2,6.501582417E1,2.551790813E1,2.195053667E1,6.668151335E-1,3.776948449E1,4.057722286E0,5.428467765E0
1.523405902E2,6.501583261E1,2.551792613E1,2.195620594E1,8.800753662E-1,4.269588442E1,4.054065837E0,5.567172787E0
1.533405868E2,6.501583941E1,2.551794318E1,2.209327684E1,8.923044552E-1,4.703772982E1,4.105685096E0,5.302574637E0
1.543405839E2,6.501584389E1,2.551796333E1,2.269465615E1,7.926098080E-1,6.372769074E1,4.186880736E0,5.301892058E0
1.553405821E2,6.501585983E1,2.551799857E1,2.365653640E1,1.055987180E0,6.196633158E1,4.344931066E0,5.482566517E0
1.563405786E2,6.501587440E1,2.551804008E1,2.404357836E1,1.279717854E0,6.100950211E1,4.401690220E0,5.263466399E0
1.573405771E2,6.501587895E1,2.551806488E1,2.420374859E1,1.020568131E0,6.739543604E1,4.439457809E0,5.135286984E0
1.583405749E2,6.501588314E1,2.551808584E1,2.479204274E1,7.308890520E-1,8.116670620E1,4.495554580E0,5.120714674E0
1.593405732E2,6.501588788E1,2.551811935E1,2.431663339E1,9.037597659E-1,8.741611032E1,4.541940675E0,5.142954198E0
1.603405700E2,6.501589028E1,2.551814854E1,2.394121560E1,8.221468203E-1,9.771193718E1,4.511444808E0,5.148373076E0
1.613405689E2,6.501589156E1,2.551818558E1,2.388894700E1,1.113849583E0,9.827008257E1,4.515143857E0,5.332268788E0
1.623405666E2,6.501588514E1,2.551822478E1,2.362142209E1,1.344047492E0,1.072803791E2,4.480205885E0,5.410190621E0
1.633405647E2,6.501588249E1,2.551824259E1,2.305385974E1,9.591740899E-1,1.076205817E2,4.457402988E0,5.369252605E0
1.643405645E2,6.501587946E1,2.551826279E1,2.336614783E1,8.171056693E-1,1.084306202E2,4.371460665E0,5.254867240E0
1.653405619E2,6.501586624E1,2.551828968E1,2.399665715E1,1.133524602E0,1.192649256E2,4.424270981E0,5.471323995E0
1.663405606E2,6.501585592E1,2.551828885E1,2.324545690E1,7.613883499E-1,1.368168012E2,4.416918193E0,5.577182331E0
1.673405585E2,6.501584483E1,2.551830248E1,2.343750686E1,7.583185628E-1,1.457044370E2,4.385007702E0,5.580573383E0
1.683405575E2,6.501583980E1,2.551829135E1,2.325923452E1,3.104881218E-1,1.899943847E2,4.316374345E0,5.704455783E0
1.693405559E2,6.501582355E1,2.551830120E1,2.295137802E1,8.119597032E-1,1.818378874E2,4.257487938E0,5.909062047E0
1.703405548E2,6.501581452E1,2.551830255E1,2.301819464E1,8.501768954E-1,1.853418207E2,4.303056025E0,5.634547051E0
1.713405536E2,6.501580319E1,2.551830829E1,2.333821977E1,9.402638377E-1,1.793578318E2,4.299548285E0,5.837301168E0
1.723405527E2,6.501579589E1,2.551830393E1,2.385186626E1,7.814723036E-1,1.901012480E2,4.295859144E0,6.151468716E0
1.733405504E2,6.501578636E1,2.551829718E1,2.371546498E1,7.786987313E-1,2.018504646E2,4.275520436E0,6.292446687E0
1.743405493E2,6.501577778E1,2.551829289E1,2.384085518E1,6.623295217E-1,2.047881326E2,4.322500866E0,6.454256171E0
1.753405489E2,6.501576695E1,2.551828888E1,2.320614033E1,7.697446836E-1,2.080080225E2,4.316292424E0,6.065577435E0
1.763405484E2,6.501576698E1,2.551829163E1,2.321097455E1,2.395201523E-1,2.144326065E2,4.236565176E0,5.609205416E0
1.773405468E2,6.501576815E1,2.551828585E1,2.356012987E1,2.169485989E-1,2.144326016E2,4.281055800E0,4.947857518E0
1.783405454E2,6.501576642E1,2.551826928E1,2.373538858E1,3.108452973E-1,2.144325871E2,4.279639874E0,4.435696928E0
1.793405445E2,6.501576309E1,2.551825530E1,2.358110642E1,4.649467325E-1,2.144325748E2,4.500840233E0,4.831110259E0
1.803405437E2,6.501575735E1,2.551825761E1,2.401888131E1,3.322804050E-1,1.905636985E2,4.667186715E0,4.731148970E0
1.813405433E2,6.501575966E1,2.551823954E1,2.474273318E1,2.664451665E-1,1.905636819E2,4.773878176E0,5.048092437E0
